,open,close,high,low,volume,money
2014-03-25,3.42,3.44,3.51,3.41,13840323.0,47965904.0
2014-03-26,3.46,3.46,3.5,3.42,9033131.0,31232376.0
2014-03-27,3.47,3.42,3.47,3.42,5916868.0,20329984.0
2014-03-28,3.41,3.42,3.45,3.39,6935340.0,23749300.0
2014-03-31,3.42,3.37,3.44,3.35,5096501.0,17248956.0
2014-04-01,3.36,3.39,3.42,3.34,5156239.0,17421156.0
2014-04-02,3.39,3.45,3.46,3.38,5635563.0,19293544.0
2014-04-03,3.44,3.38,3.45,3.37,4800375.0,16374363.0
2014-04-04,3.37,3.41,3.42,3.37,3758875.0,12774628.0
2014-04-08,3.4,3.48,3.48,3.4,8998758.0,31144652.0
2014-04-09,3.47,3.48,3.51,3.44,5151336.0,17880408.0
2014-04-10,3.47,3.48,3.5,3.43,8084436.0,28013000.0
2014-04-11,3.47,3.5,3.51,3.44,10887767.0,37928152.0
2014-04-14,3.5,3.52,3.53,3.48,7939699.0,27847388.0
2014-04-15,3.53,3.47,3.53,3.45,7726160.0,26842778.0
2014-04-16,3.48,3.49,3.51,3.47,4916248.0,17142562.0
2014-04-17,3.49,3.45,3.5,3.44,5572378.0,19272060.0
2014-04-18,3.46,3.47,3.47,3.43,4015878.0,13852967.0
2014-04-21,3.46,3.4,3.47,3.4,6258641.0,21484628.0
2014-04-22,3.4,3.44,3.48,3.39,5886704.0,20265130.0
2014-04-23,3.44,3.4,3.44,3.38,4587704.0,15625895.0
2014-04-24,3.39,3.36,3.4,3.35,5240320.0,17670518.0
2014-04-25,3.37,3.36,3.4,3.31,5846690.0,19646836.0
2014-04-28,3.34,3.27,3.36,3.26,6452598.0,21328372.0
2014-04-29,3.27,3.3,3.31,3.26,3288313.0,10795119.0
2014-04-30,3.3,3.32,3.33,3.28,3053008.0,10099636.0
2014-05-05,3.32,3.28,3.32,3.25,6920621.0,22676390.0
2014-05-06,3.28,3.29,3.3,3.26,6241789.0,20434228.0
2014-05-07,3.27,3.25,3.27,3.25,3820008.0,12453560.0
2014-05-08,3.24,3.24,3.28,3.23,5918937.0,19234660.0
2014-05-09,3.24,3.27,3.27,3.22,3454868.0,11204054.0
2014-05-12,3.27,3.33,3.35,3.27,6581881.0,21849120.0
2014-05-13,3.32,3.31,3.34,3.29,3894048.0,12920286.0
2014-05-14,3.31,3.33,3.37,3.3,3594508.0,12010250.0
2014-05-15,3.33,3.26,3.34,3.25,4135889.0,13598337.0
2014-05-16,3.26,3.27,3.28,3.24,2627864.0,8559405.0
2014-05-19,3.24,3.25,3.27,3.23,2954165.0,9583489.0
2014-05-20,3.26,3.25,3.28,3.25,1863007.0,6080612.0
2014-05-21,3.26,3.26,3.27,3.23,2595150.0,8429093.0
2014-05-22,3.26,3.24,3.28,3.24,2418668.0,7890278.0
2014-05-23,3.25,3.26,3.27,3.24,2035153.0,6623601.0
2014-05-26,3.26,3.27,3.29,3.25,3120677.0,10228047.0
2014-05-27,3.27,3.25,3.27,3.24,2694978.0,8762550.0
2014-05-28,3.26,3.27,3.28,3.24,3230972.0,10533021.0
2014-05-29,3.27,3.25,3.28,3.24,2730101.0,8899585.0
2014-05-30,3.25,3.25,3.27,3.23,3033977.0,9840680.0
2014-06-03,3.25,3.25,3.3,3.25,2245850.0,7337923.0
2014-06-04,3.25,3.21,3.25,3.2,4084263.0,13133408.0
2014-06-05,3.2,3.23,3.23,3.2,2631225.0,8450814.0
2014-06-06,3.23,3.21,3.23,3.2,2860186.0,9175189.0
2014-06-09,3.2,3.2,3.23,3.19,2484641.0,7963748.0
2014-06-10,3.2,3.21,3.22,3.19,2907013.0,9310924.0
2014-06-11,3.21,3.22,3.23,3.2,3368253.0,10819031.0
2014-06-12,3.22,3.19,3.22,3.17,4160777.0,13295949.0
2014-06-13,3.19,3.21,3.22,3.18,3194474.0,10242094.0
2014-06-16,3.21,3.22,3.22,3.19,4587993.0,14706930.0
2014-06-17,3.22,3.19,3.22,3.18,3702610.0,11820306.0
2014-06-18,3.18,3.15,3.19,3.14,5484287.0,17328316.0
2014-06-19,3.15,3.06,3.16,3.04,6784100.0,20976596.0
2014-06-20,3.05,3.07,3.08,3.04,3659335.0,11195508.0
2014-06-23,3.07,3.08,3.09,3.06,2577092.0,7929048.0
2014-06-24,3.08,3.09,3.12,3.07,2501139.0,7754034.0
