,term,term_d,rate,,
2015/4/14,10y,10,3.6211,,
2015/4/14,15y,15,3.8851,,
2015/4/14,20y,20,4.1275,,
2015/4/14,30y,30,4.2574,,
2015/4/14,40y,40,4.3436,,
2015/4/14,50y,50,4.3975,,
2015/4/15,0d,0,1.7067,,
2015/4/15,1m,0.08,3.0291,,
2015/4/15,2m,0.17,3.0034,,
2015/4/15,3m,0.25,3.0501,,
2015/4/15,6m,0.5,3.0721,,
2015/4/15,9m,0.75,3.0852,,
2015/4/15,1y,1,3.1002,,
2015/4/15,2y,2,3.1412,,
2015/4/15,3y,3,3.1827,,
2015/4/15,4y,4,3.2865,,
2015/4/15,5y,5,3.417,,
2015/4/15,6y,6,3.488,,
2015/4/15,7y,7,3.541,,
2015/4/15,8y,8,3.5721,,
2015/4/15,9y,9,3.5819,,
2015/4/15,10y,10,3.5954,,
2015/4/15,15y,15,3.8594,,
2015/4/15,20y,20,4.1018,,
2015/4/15,30y,30,4.2317,,
2015/4/15,40y,40,4.3179,,
2015/4/15,50y,50,4.3718,,
2015/4/16,0d,0,1.7877,,
2015/4/16,1m,0.08,3.1136,,
2015/4/16,2m,0.17,3.0652,,
2015/4/16,3m,0.25,3.0498,,
2015/4/16,6m,0.5,3.0501,,
2015/4/16,9m,0.75,3.0579,,
2015/4/16,1y,1,3.0729,,
2015/4/16,2y,2,3.1358,,
2015/4/16,3y,3,3.1988,,
2015/4/16,4y,4,3.3019,,
2015/4/16,5y,5,3.4207,,
2015/4/16,6y,6,3.4931,,
2015/4/16,7y,7,3.5329,,
2015/4/16,8y,8,3.5499,,
2015/4/16,9y,9,3.5563,,
2015/4/16,10y,10,3.56,,
2015/4/16,15y,15,3.824,,
2015/4/16,20y,20,4.0664,,
2015/4/16,30y,30,4.1963,,
2015/4/16,40y,40,4.2825,,
2015/4/16,50y,50,4.3364,,
2015/4/17,0d,0,1.8577,,
2015/4/17,1m,0.08,3.0431,,
2015/4/17,2m,0.17,3.0432,,
2015/4/17,3m,0.25,3.0448,,
2015/4/17,6m,0.5,3.03,,
2015/4/17,9m,0.75,3.0566,,
2015/4/17,1y,1,3.1628,,
2015/4/17,2y,2,3.1946,,
2015/4/17,3y,3,3.2273,,
2015/4/17,4y,4,3.3028,,
2015/4/17,5y,5,3.3977,,
2015/4/17,6y,6,3.4761,,
2015/4/17,7y,7,3.5307,,
2015/4/17,8y,8,3.5501,,
2015/4/17,9y,9,3.5577,,
2015/4/17,10y,10,3.5627,,
2015/4/17,15y,15,3.8267,,
2015/4/17,20y,20,4.0691,,
2015/4/17,30y,30,4.199,,
2015/4/17,40y,40,4.2852,,
2015/4/17,50y,50,4.3391,,
2015/4/20,0d,0,1.6767,,
2015/4/20,1m,0.08,2.8934,,
2015/4/20,2m,0.17,2.918,,
2015/4/20,3m,0.25,2.955,,
2015/4/20,6m,0.5,2.98,,
2015/4/20,9m,0.75,3.0276,,
2015/4/20,1y,1,3.0872,,
2015/4/20,2y,2,3.1192,,
2015/4/20,3y,3,3.1526,,
2015/4/20,4y,4,3.2266,,
2015/4/20,5y,5,3.3165,,
2015/4/20,6y,6,3.3671,,
2015/4/20,7y,7,3.4094,,
2015/4/20,8y,8,3.4362,,
2015/4/20,9y,9,3.4452,,
2015/4/20,10y,10,3.4554,,
2015/4/20,15y,15,3.7192,,
2015/4/20,20y,20,3.9616,,
2015/4/20,30y,30,4.0915,,
2015/4/20,40y,40,4.1777,,
2015/4/20,50y,50,4.2316,,
2015/4/21,0d,0,1.5917,,
2015/4/21,1m,0.08,2.7934,,
2015/4/21,2m,0.17,2.818,,
2015/4/21,3m,0.25,2.885,,
2015/4/21,6m,0.5,2.9919,,
2015/4/21,9m,0.75,2.882,,
2015/4/21,1y,1,3.0092,,
2015/4/21,2y,2,3.0629,,
2015/4/21,3y,3,3.1193,,
2015/4/21,4y,4,3.1985,,
2015/4/21,5y,5,3.2857,,
2015/4/21,6y,6,3.3265,,
2015/4/21,7y,7,3.357,,
2015/4/21,8y,8,3.3822,,
2015/4/21,9y,9,3.3932,,
2015/4/21,10y,10,3.4055,,
2015/4/21,15y,15,3.6693,,
2015/4/21,20y,20,3.9117,,
2015/4/21,30y,30,4.0979,,
2015/4/21,40y,40,4.1841,,
2015/4/21,50y,50,4.238,,
2015/4/22,0d,0,1.5387,,
2015/4/22,1m,0.08,2.3366,,
2015/4/22,2m,0.17,2.768,,
2015/4/22,3m,0.25,2.8283,,
2015/4/22,6m,0.5,3.0194,,
2015/4/22,9m,0.75,2.9415,,
2015/4/22,1y,1,3.0152,,
2015/4/22,2y,2,3.0783,,
2015/4/22,3y,3,3.145,,
2015/4/22,4y,4,3.2165,,
2015/4/22,5y,5,3.2891,,
2015/4/22,6y,6,3.3426,,
2015/4/22,7y,7,3.3776,,
2015/4/22,8y,8,3.3945,,
2015/4/22,9y,9,3.4005,,
2015/4/22,10y,10,3.4052,,
2015/4/22,15y,15,3.669,,
2015/4/22,20y,20,3.9114,,
2015/4/22,30y,30,4.0976,,
2015/4/22,40y,40,4.1838,,
2015/4/22,50y,50,4.2377,,
2015/4/23,0d,0,1.4977,,
2015/4/23,1m,0.08,2.3647,,
2015/4/23,2m,0.17,2.758,,
2015/4/23,3m,0.25,2.8199,,
2015/4/23,6m,0.5,2.9728,,
2015/4/23,9m,0.75,2.9659,,
2015/4/23,1y,1,2.9713,,
2015/4/23,2y,2,3.0931,,
2015/4/23,3y,3,3.2109,,
2015/4/23,4y,4,3.2646,,
2015/4/23,5y,5,3.2936,,
2015/4/23,6y,6,3.3754,,
2015/4/23,7y,7,3.4118,,
2015/4/23,8y,8,3.4139,,
2015/4/23,9y,9,3.4149,,
2015/4/23,10y,10,3.4151,,
2015/4/23,15y,15,3.6789,,
2015/4/23,20y,20,3.9213,,
2015/4/23,30y,30,4.0976,,
2015/4/23,40y,40,4.1538,,
2015/4/23,50y,50,4.2077,,
2015/4/24,0d,0,1.4407,,
2015/4/24,1m,0.08,2.3822,,
2015/4/24,2m,0.17,2.7112,,
2015/4/24,3m,0.25,2.8198,,
2015/4/24,6m,0.5,2.9731,,
2015/4/24,9m,0.75,2.9315,,
2015/4/24,1y,1,2.9276,,
2015/4/24,2y,2,3.0838,,
2015/4/24,3y,3,3.2255,,
2015/4/24,4y,4,3.2819,,
2015/4/24,5y,5,3.3075,,
2015/4/24,6y,6,3.3719,,
2015/4/24,7y,7,3.42,,
2015/4/24,8y,8,3.4349,,
2015/4/24,9y,9,3.4411,,
2015/4/24,10y,10,3.4454,,
2015/4/24,15y,15,3.7092,,
2015/4/24,20y,20,4.0082,,
2015/4/24,30y,30,4.1845,,
2015/4/24,40y,40,4.2407,,
2015/4/24,50y,50,4.2945,,
2015/4/27,0d,0,1.3957,,
2015/4/27,1m,0.08,2.3998,,
2015/4/27,2m,0.17,2.6586,,
2015/4/27,3m,0.25,2.6971,,
2015/4/27,6m,0.5,2.9206,,
2015/4/27,9m,0.75,2.8874,,
2015/4/27,1y,1,2.8663,,
2015/4/27,2y,2,3.0224,,
2015/4/27,3y,3,3.1722,,
2015/4/27,4y,4,3.2391,,
2015/4/27,5y,5,3.274,,
2015/4/27,6y,6,3.3325,,
2015/4/27,7y,7,3.3712,,
2015/4/27,8y,8,3.3868,,
2015/4/27,9y,9,3.3922,,
2015/4/27,10y,10,3.3952,,
2015/4/27,15y,15,3.6842,,
2015/4/27,20y,20,4.0082,,
2015/4/27,30y,30,4.1845,,
2015/4/27,40y,40,4.2407,,
2015/4/27,50y,50,4.2945,,
2015/4/28,0d,0,1.3487,,
2015/4/28,1m,0.08,2.4174,,
2015/4/28,2m,0.17,2.6867,,
2015/4/28,3m,0.25,2.7071,,
2015/4/28,6m,0.5,2.8996,,
2015/4/28,9m,0.75,2.8452,,
2015/4/28,1y,1,2.8266,,
2015/4/28,2y,2,3.0108,,
2015/4/28,3y,3,3.1735,,
2015/4/28,4y,4,3.2355,,
2015/4/28,5y,5,3.2623,,
2015/4/28,6y,6,3.3121,,
2015/4/28,7y,7,3.3512,,
2015/4/28,8y,8,3.3697,,
2015/4/28,9y,9,3.3759,,
2015/4/28,10y,10,3.3804,,
2015/4/28,15y,15,3.6694,,
2015/4/28,20y,20,3.9934,,
2015/4/28,30y,30,4.1697,,
2015/4/28,40y,40,4.2407,,
2015/4/28,50y,50,4.2945,,
2015/4/29,0d,0,1.3287,,
2015/4/29,1m,0.08,2.435,,
2015/4/29,2m,0.17,2.7048,,
2015/4/29,3m,0.25,2.7071,,
2015/4/29,6m,0.5,2.9343,,
2015/4/29,9m,0.75,2.8293,,
2015/4/29,1y,1,2.8267,,
2015/4/29,2y,2,3.0048,,
2015/4/29,3y,3,3.1664,,
2015/4/29,4y,4,3.2294,,
2015/4/29,5y,5,3.2581,,
2015/4/29,6y,6,3.3147,,
2015/4/29,7y,7,3.3617,,
2015/4/29,8y,8,3.3856,,
2015/4/29,9y,9,3.3935,,
2015/4/29,10y,10,3.4,,
2015/4/29,15y,15,3.689,,
2015/4/29,20y,20,4.013,,
2015/4/29,30y,30,4.1715,,
2015/4/29,40y,40,4.2425,,
2015/4/29,50y,50,4.2963,,
2015/4/30,0d,0,1.2797,,
2015/4/30,1m,0.08,2.4358,,
2015/4/30,2m,0.17,2.6238,,
2015/4/30,3m,0.25,2.7044,,
2015/4/30,6m,0.5,2.7856,,
2015/4/30,9m,0.75,2.6782,,
2015/4/30,1y,1,2.694,,
2015/4/30,2y,2,2.9479,,
2015/4/30,3y,3,3.1561,,
2015/4/30,4y,4,3.2256,,
2015/4/30,5y,5,3.2533,,
2015/4/30,6y,6,3.3173,,
2015/4/30,7y,7,3.3503,,
2015/4/30,8y,8,3.3503,,
2015/4/30,9y,9,3.3503,,
2015/4/30,10y,10,3.3503,,
2015/4/30,15y,15,3.6393,,
2015/4/30,20y,20,3.9633,,
2015/4/30,30y,30,4.1218,,
2015/4/30,40y,40,4.1928,,
2015/4/30,50y,50,4.2466,,
2015/5/4,0d,0,1.2087,,
2015/5/4,1m,0.08,2.3057,,
2015/5/4,2m,0.17,2.5967,,
2015/5/4,3m,0.25,2.6244,,
2015/5/4,6m,0.5,2.7659,,
2015/5/4,9m,0.75,2.7174,,
2015/5/4,1y,1,2.7296,,
2015/5/4,2y,2,2.9425,,
2015/5/4,3y,3,3.1421,,
2015/5/4,4y,4,3.2251,,
2015/5/4,5y,5,3.2656,,
2015/5/4,6y,6,3.3193,,
2015/5/4,7y,7,3.3516,,
2015/5/4,8y,8,3.37,,
2015/5/4,9y,9,3.376,,
2015/5/4,10y,10,3.3804,,
2015/5/4,15y,15,3.6694,,
2015/5/4,20y,20,3.9934,,
2015/5/4,30y,30,4.1519,,
2015/5/4,40y,40,4.2229,,
2015/5/4,50y,50,4.2767,,
2015/5/5,0d,0,1.1537,,
2015/5/5,1m,0.08,2.2775,,
2015/5/5,2m,0.17,2.5932,,
2015/5/5,3m,0.25,2.6531,,
2015/5/5,6m,0.5,2.7903,,
2015/5/5,9m,0.75,2.7265,,
2015/5/5,1y,1,2.7278,,
2015/5/5,2y,2,2.952,,
2015/5/5,3y,3,3.1496,,
2015/5/5,4y,4,3.2251,,
2015/5/5,5y,5,3.2599,,
2015/5/5,6y,6,3.3174,,
2015/5/5,7y,7,3.3623,,
2015/5/5,8y,8,3.3861,,
2015/5/5,9y,9,3.394,,
2015/5/5,10y,10,3.4006,,
2015/5/5,15y,15,3.6894,,
2015/5/5,20y,20,4.0134,,
2015/5/5,30y,30,4.1719,,
2015/5/5,40y,40,4.2429,,
2015/5/5,50y,50,4.2967,,
2015/5/6,0d,0,1.1127,,
2015/5/6,1m,0.08,2.2859,,
2015/5/6,2m,0.17,2.5034,,
2015/5/6,3m,0.25,2.5531,,
2015/5/6,6m,0.5,2.708,,
2015/5/6,9m,0.75,2.7111,,
2015/5/6,1y,1,2.708,,
2015/5/6,2y,2,2.9396,,
2015/5/6,3y,3,3.1516,,
2015/5/6,4y,4,3.2357,,
2015/5/6,5y,5,3.2788,,
2015/5/6,6y,6,3.3727,,
2015/5/6,7y,7,3.4324,,
2015/5/6,8y,8,3.4467,,
2015/5/6,9y,9,3.4512,,
2015/5/6,10y,10,3.456,,
2015/5/6,15y,15,3.7448,,
2015/5/6,20y,20,4.0612,,
2015/5/6,30y,30,4.2196,,
2015/5/6,40y,40,4.259,,
2015/5/6,50y,50,4.3128,,
2015/5/7,0d,0,1.1127,,
2015/5/7,1m,0.08,2.3886,,
2015/5/7,2m,0.17,2.426,,
2015/5/7,3m,0.25,2.5419,,
2015/5/7,6m,0.5,2.7402,,
2015/5/7,9m,0.75,2.6871,,
2015/5/7,1y,1,2.6912,,
2015/5/7,2y,2,2.9164,,
2015/5/7,3y,3,3.1273,,
2015/5/7,4y,4,3.2237,,
2015/5/7,5y,5,3.2828,,
2015/5/7,6y,6,3.3905,,
2015/5/7,7y,7,3.44,,
2015/5/7,8y,8,3.44,,
2015/5/7,9y,9,3.44,,
2015/5/7,10y,10,3.4401,,
2015/5/7,15y,15,3.7299,,
2015/5/7,20y,20,4.0513,,
2015/5/7,30y,30,4.2098,,
2015/5/7,40y,40,4.2463,,
2015/5/7,50y,50,4.3001,,
2015/5/8,0d,0,1.1127,,
2015/5/8,1m,0.08,2.4258,,
2015/5/8,2m,0.17,2.4024,,
2015/5/8,3m,0.25,2.5146,,
2015/5/8,6m,0.5,2.704,,
2015/5/8,9m,0.75,2.6762,,
2015/5/8,1y,1,2.6821,,
2015/5/8,2y,2,2.8935,,
2015/5/8,3y,3,3.0917,,
2015/5/8,4y,4,3.1868,,
2015/5/8,5y,5,3.2484,,
2015/5/8,6y,6,3.3529,,
2015/5/8,7y,7,3.4002,,
2015/5/8,8y,8,3.394,,
2015/5/8,9y,9,3.3814,,
2015/5/8,10y,10,3.3703,,
2015/5/8,15y,15,3.6601,,
2015/5/8,20y,20,3.9815,,
2015/5/8,30y,30,4.14,,
2015/5/8,40y,40,4.1765,,
2015/5/8,50y,50,4.2303,,
2015/5/11,0d,0,1.0147,,
2015/5/11,1m,0.08,2.1972,,
2015/5/11,2m,0.17,2.2758,,
2015/5/11,3m,0.25,2.4198,,
2015/5/11,6m,0.5,2.6513,,
2015/5/11,9m,0.75,2.6434,,
2015/5/11,1y,1,2.6562,,
2015/5/11,2y,2,2.8605,,
2015/5/11,3y,3,3.0523,,
2015/5/11,4y,4,3.1484,,
2015/5/11,5y,5,3.217,,
2015/5/11,6y,6,3.3466,,
2015/5/11,7y,7,3.41,,
2015/5/11,8y,8,3.4026,,
2015/5/11,9y,9,3.388,,
2015/5/11,10y,10,3.3752,,
2015/5/11,15y,15,3.665,,
2015/5/11,20y,20,3.9864,,
2015/5/11,30y,30,4.1449,,
2015/5/11,40y,40,4.1814,,
2015/5/11,50y,50,4.2352,,
2015/5/12,0d,0,0.9597,,
2015/5/12,1m,0.08,2.1878,,
2015/5/12,2m,0.17,2.2252,,
2015/5/12,3m,0.25,2.3427,,
2015/5/12,6m,0.5,2.6036,,
2015/5/12,9m,0.75,2.5959,,
2015/5/12,1y,1,2.5691,,
2015/5/12,2y,2,2.7899,,
2015/5/12,3y,3,2.9941,,
2015/5/12,4y,4,3.0946,,
2015/5/12,5y,5,3.1677,,
2015/5/12,6y,6,3.3277,,
2015/5/12,7y,7,3.41,,
2015/5/12,8y,8,3.408,,
2015/5/12,9y,9,3.4038,,
2015/5/12,10y,10,3.4002,,
2015/5/12,15y,15,3.6901,,
2015/5/12,20y,20,4.0115,,
2015/5/12,30y,30,4.1601,,
2015/5/12,40y,40,4.2055,,
2015/5/12,50y,50,4.2503,,
2015/5/13,0d,0,0.9167,,
2015/5/13,1m,0.08,2.1378,,
2015/5/13,2m,0.17,2.0752,,
2015/5/13,3m,0.25,2.1927,,
2015/5/13,6m,0.5,2.4769,,
2015/5/13,9m,0.75,2.4571,,
2015/5/13,1y,1,2.4501,,
2015/5/13,2y,2,2.7139,,
2015/5/13,3y,3,2.9361,,
2015/5/13,4y,4,3.0149,,
2015/5/13,5y,5,3.0637,,
2015/5/13,6y,6,3.2656,,
2015/5/13,7y,7,3.3914,,
2015/5/13,8y,8,3.3973,,
2015/5/13,9y,9,3.3996,,
2015/5/13,10y,10,3.4002,,
2015/5/13,15y,15,3.6901,,
2015/5/13,20y,20,4.0115,,
2015/5/13,30y,30,4.1601,,
2015/5/13,40y,40,4.2055,,
2015/5/13,50y,50,4.2503,,
2015/5/14,0d,0,0.8517,,
2015/5/14,1m,0.08,2.0378,,
2015/5/14,2m,0.17,1.9658,,
2015/5/14,3m,0.25,2.0701,,
2015/5/14,6m,0.5,2.385,,
2015/5/14,9m,0.75,2.3527,,
2015/5/14,1y,1,2.3557,,
2015/5/14,2y,2,2.6248,,
2015/5/14,3y,3,2.8524,,
2015/5/14,4y,4,2.9338,,
2015/5/14,5y,5,2.9869,,
2015/5/14,6y,6,3.2192,,
2015/5/14,7y,7,3.3672,,
2015/5/14,8y,8,3.3761,,
2015/5/14,9y,9,3.3795,,
2015/5/14,10y,10,3.3803,,
2015/5/14,15y,15,3.6702,,
2015/5/14,20y,20,3.992,,
2015/5/14,30y,30,4.1406,,
2015/5/14,40y,40,4.186,,
2015/5/14,50y,50,4.2308,,
2015/5/15,0d,0,0.7477,,
2015/5/15,1m,0.08,1.8878,,
2015/5/15,2m,0.17,1.9058,,
2015/5/15,3m,0.25,2.0574,,
2015/5/15,6m,0.5,2.3229,,
2015/5/15,9m,0.75,2.3274,,
2015/5/15,1y,1,2.344,,
2015/5/15,2y,2,2.5626,,
2015/5/15,3y,3,2.7681,,
2015/5/15,4y,4,2.9163,,
2015/5/15,5y,5,3.0508,,
2015/5/15,6y,6,3.2407,,
2015/5/15,7y,7,3.3559,,
2015/5/15,8y,8,3.3789,,
2015/5/15,9y,9,3.3876,,
2015/5/15,10y,10,3.3907,,
2015/5/15,15y,15,3.6803,,
2015/5/15,20y,20,3.992,,
2015/5/15,30y,30,4.1354,,
2015/5/15,40y,40,4.1774,,
2015/5/15,50y,50,4.2222,,
2015/5/18,0d,0,0.7217,,
2015/5/18,1m,0.08,1.8378,,
2015/5/18,2m,0.17,1.905,,
2015/5/18,3m,0.25,2.0129,,
2015/5/18,6m,0.5,2.3148,,
2015/5/18,9m,0.75,2.325,,
2015/5/18,1y,1,2.374,,
2015/5/18,2y,2,2.5985,,
2015/5/18,3y,3,2.8204,,
2015/5/18,4y,4,2.9617,,
2015/5/18,5y,5,3.082,,
2015/5/18,6y,6,3.2471,,
2015/5/18,7y,7,3.3586,,
2015/5/18,8y,8,3.3922,,
2015/5/18,9y,9,3.4046,,
2015/5/18,10y,10,3.4109,,
2015/5/18,15y,15,3.7005,,
2015/5/18,20y,20,3.9826,,
2015/5/18,30y,30,4.1366,,
2015/5/18,40y,40,4.1786,,
2015/5/18,50y,50,4.2234,,
2015/5/19,0d,0,0.7027,,
2015/5/19,1m,0.08,1.8885,,
2015/5/19,2m,0.17,1.9491,,
2015/5/19,3m,0.25,2.0447,,
2015/5/19,6m,0.5,2.3148,,
2015/5/19,9m,0.75,2.374,,
2015/5/19,1y,1,2.4574,,
2015/5/19,2y,2,2.6794,,
2015/5/19,3y,3,2.8995,,
2015/5/19,4y,4,3.0103,,
2015/5/19,5y,5,3.1007,,
2015/5/19,6y,6,3.2584,,
2015/5/19,7y,7,3.3746,,
2015/5/19,8y,8,3.4105,,
2015/5/19,9y,9,3.4235,,
2015/5/19,10y,10,3.4311,,
2015/5/19,15y,15,3.7207,,
2015/5/19,20y,20,3.9876,,
2015/5/19,30y,30,4.1342,,
2015/5/19,40y,40,4.1762,,
2015/5/19,50y,50,4.221,,
2015/5/20,0d,0,0.7017,,
2015/5/20,1m,0.08,1.9864,,
2015/5/20,2m,0.17,2.0491,,
2015/5/20,3m,0.25,2.0598,,
2015/5/20,6m,0.5,2.2448,,
2015/5/20,9m,0.75,2.3619,,
2015/5/20,1y,1,2.4391,,
2015/5/20,2y,2,2.6438,,
2015/5/20,3y,3,2.8494,,
2015/5/20,4y,4,2.9921,,
2015/5/20,5y,5,3.1197,,
2015/5/20,6y,6,3.289,,
2015/5/20,7y,7,3.3918,,
2015/5/20,8y,8,3.4155,,
2015/5/20,9y,9,3.4244,,
2015/5/20,10y,10,3.4282,,
2015/5/20,15y,15,3.7178,,
2015/5/20,20y,20,3.9847,,
2015/5/20,30y,30,4.1372,,
2015/5/20,40y,40,4.1792,,
2015/5/20,50y,50,4.224,,
2015/5/21,0d,0,0.7027,,
2015/5/21,1m,0.08,1.9712,,
2015/5/21,2m,0.17,2.0705,,
2015/5/21,3m,0.25,2.0998,,
2015/5/21,6m,0.5,2.3411,,
2015/5/21,9m,0.75,2.3683,,
2015/5/21,1y,1,2.4373,,
2015/5/21,2y,2,2.6416,,
2015/5/21,3y,3,2.8446,,
2015/5/21,4y,4,2.987,,
2015/5/21,5y,5,3.1151,,
2015/5/21,6y,6,3.2837,,
2015/5/21,7y,7,3.3874,,
2015/5/21,8y,8,3.4123,,
2015/5/21,9y,9,3.4216,,
2015/5/21,10y,10,3.4257,,
2015/5/21,15y,15,3.7153,,
2015/5/21,20y,20,3.9651,,
2015/5/21,30y,30,4.1251,,
2015/5/21,40y,40,4.1659,,
2015/5/21,50y,50,4.2107,,
2015/5/22,0d,0,0.7067,,
2015/5/22,1m,0.08,2.0717,,
2015/5/22,2m,0.17,1.9806,,
2015/5/22,3m,0.25,2.0622,,
2015/5/22,6m,0.5,2.3161,,
2015/5/22,9m,0.75,2.3458,,
2015/5/22,1y,1,2.3822,,
2015/5/22,2y,2,2.6078,,
2015/5/22,3y,3,2.8293,,
2015/5/22,4y,4,3,,
2015/5/22,5y,5,3.1538,,
2015/5/22,6y,6,3.2925,,
2015/5/22,7y,7,3.3723,,
2015/5/22,8y,8,3.4005,,
2015/5/22,9y,9,3.4106,,
2015/5/22,10y,10,3.416,,
2015/5/22,15y,15,3.7054,,
2015/5/22,20y,20,3.9651,,
2015/5/22,30y,30,4.0751,,
2015/5/22,40y,40,4.1159,,
2015/5/22,50y,50,4.1607,,
2015/5/25,0d,0,0.7087,,
2015/5/25,1m,0.08,2.1031,,
2015/5/25,2m,0.17,2.0022,,
2015/5/25,3m,0.25,2.1122,,
2015/5/25,6m,0.5,2.2017,,
2015/5/25,9m,0.75,2.211,,
2015/5/25,1y,1,2.2462,,
2015/5/25,2y,2,2.5413,,
2015/5/25,3y,3,2.8389,,
2015/5/25,4y,4,3.0138,,
2015/5/25,5y,5,3.1707,,
2015/5/25,6y,6,3.3115,,
2015/5/25,7y,7,3.3874,,
2015/5/25,8y,8,3.4155,,
2015/5/25,9y,9,3.4255,,
2015/5/25,10y,10,3.431,,
2015/5/25,15y,15,3.7204,,
2015/5/25,20y,20,3.9451,,
2015/5/25,30y,30,4.0251,,
2015/5/25,40y,40,4.0659,,
2015/5/25,50y,50,4.1107,,
2015/5/26,0d,0,0.7097,,
2015/5/26,1m,0.08,1.9674,,
2015/5/26,2m,0.17,2.0055,,
2015/5/26,3m,0.25,1.9901,,
2015/5/26,6m,0.5,2.0757,,
2015/5/26,9m,0.75,1.9891,,
2015/5/26,1y,1,2.0338,,
2015/5/26,2y,2,2.4745,,
2015/5/26,3y,3,2.895,,
2015/5/26,4y,4,3.0792,,
2015/5/26,5y,5,3.1997,,
2015/5/26,6y,6,3.3612,,
2015/5/26,7y,7,3.4597,,
2015/5/26,8y,8,3.499,,
2015/5/26,9y,9,3.5127,,
2015/5/26,10y,10,3.5214,,
2015/5/26,15y,15,3.7704,,
2015/5/26,20y,20,3.9415,,
2015/5/26,30y,30,4.0023,,
2015/5/26,40y,40,4.0959,,
2015/5/26,50y,50,4.1407,,
2015/5/27,0d,0,0.7097,,
2015/5/27,1m,0.08,1.9174,,
2015/5/27,2m,0.17,1.9306,,
2015/5/27,3m,0.25,1.9167,,
2015/5/27,6m,0.5,1.9877,,
2015/5/27,9m,0.75,1.8291,,
2015/5/27,1y,1,1.8707,,
2015/5/27,2y,2,2.397,,
2015/5/27,3y,3,2.8766,,
2015/5/27,4y,4,3.0751,,
2015/5/27,5y,5,3.1597,,
2015/5/27,6y,6,3.3613,,
2015/5/27,7y,7,3.485,,
2015/5/27,8y,8,3.4985,,
2015/5/27,9y,9,3.5038,,
2015/5/27,10y,10,3.5055,,
2015/5/27,15y,15,3.7559,,
2015/5/27,20y,20,3.927,,
2015/5/27,30y,30,4.039,,
2015/5/27,40y,40,4.1114,,
2015/5/27,50y,50,4.1562,,
2015/5/28,0d,0,0.7127,,
2015/5/28,1m,0.08,1.9538,,
2015/5/28,2m,0.17,2.0005,,
2015/5/28,3m,0.25,1.9913,,
2015/5/28,6m,0.5,2.0463,,
2015/5/28,9m,0.75,1.8891,,
2015/5/28,1y,1,1.9369,,
2015/5/28,2y,2,2.4314,,
2015/5/28,3y,3,2.9029,,
2015/5/28,4y,4,3.1357,,
2015/5/28,5y,5,3.3171,,
2015/5/28,6y,6,3.5148,,
2015/5/28,7y,7,3.5874,,
2015/5/28,8y,8,3.5812,,
2015/5/28,9y,9,3.5696,,
2015/5/28,10y,10,3.5652,,
2015/5/28,15y,15,3.7669,,
2015/5/28,20y,20,3.938,,
2015/5/28,30y,30,4.006,,
2015/5/28,40y,40,4.0784,,
2015/5/28,50y,50,4.1232,,
2015/5/29,0d,0,0.8184,,
2015/5/29,1m,0.08,1.9017,,
2015/5/29,2m,0.17,1.9652,,
2015/5/29,3m,0.25,2.0038,,
2015/5/29,6m,0.5,2.1527,,
2015/5/29,9m,0.75,2.0476,,
2015/5/29,1y,1,1.9387,,
2015/5/29,2y,2,2.4457,,
2015/5/29,3y,3,2.9196,,
2015/5/29,4y,4,3.1384,,
2015/5/29,5y,5,3.2924,,
2015/5/29,6y,6,3.4992,,
2015/5/29,7y,7,3.5831,,
2015/5/29,8y,8,3.5912,,
2015/5/29,9y,9,3.5944,,
2015/5/29,10y,10,3.5954,,
2015/5/29,15y,15,3.7889,,
2015/5/29,20y,20,3.9519,,
2015/5/29,30y,30,4.019,,
2015/5/29,40y,40,4.0912,,
2015/5/29,50y,50,4.136,,
2015/6/1,0d,0,0.8063,,
2015/6/1,1m,0.08,1.9611,,
2015/6/1,2m,0.17,2.0058,,
2015/6/1,3m,0.25,2.0238,,
2015/6/1,6m,0.5,2.0627,,
2015/6/1,9m,0.75,2.0264,,
2015/6/1,1y,1,1.9947,,
2015/6/1,2y,2,2.4763,,
2015/6/1,3y,3,2.924,,
2015/6/1,4y,4,3.161,,
2015/6/1,5y,5,3.3434,,
2015/6/1,6y,6,3.5446,,
2015/6/1,7y,7,3.6243,,
2015/6/1,8y,8,3.6349,,
2015/6/1,9y,9,3.6391,,
2015/6/1,10y,10,3.6404,,
2015/6/1,15y,15,3.8124,,
2015/6/1,20y,20,3.9753,,
2015/6/1,30y,30,4.0321,,
2015/6/1,40y,40,4.1043,,
2015/6/1,50y,50,4.1491,,
2015/6/2,0d,0,0.8134,,
2015/6/2,1m,0.08,1.9622,,
2015/6/2,2m,0.17,1.9758,,
2015/6/2,3m,0.25,2.0036,,
2015/6/2,6m,0.5,2.0478,,
2015/6/2,9m,0.75,1.9865,,
2015/6/2,1y,1,1.9651,,
2015/6/2,2y,2,2.4482,,
2015/6/2,3y,3,2.8957,,
2015/6/2,4y,4,3.1162,,
2015/6/2,5y,5,3.2809,,
2015/6/2,6y,6,3.4796,,
2015/6/2,7y,7,3.566,,
2015/6/2,8y,8,3.5804,,
2015/6/2,9y,9,3.5861,,
2015/6/2,10y,10,3.588,,
2015/6/2,15y,15,3.7862,,
2015/6/2,20y,20,3.9753,,
2015/6/2,30y,30,4.0321,,
2015/6/2,40y,40,4.1044,,
2015/6/2,50y,50,4.1491,,
2015/6/3,0d,0,0.8184,,
2015/6/3,1m,0.08,1.9246,,
